transaction_id,timestamp,customer_id,merchant_name,amount,mcc_code,location
TX00039,2025-06-20 20:03:17,CUST165,"UBR*JONES, ADA LAKE DANIELLAND",296.21,5812,Ottawa
TX00040,2025-06-20 18:14:09,CUST325,AMZ*SCHNEIDER  KATHLEENSHIRE,355.38,5411,Montreal
TX00041,2025-06-20 08:47:25,CUST169,AMZ*CHAVEZ GRO LESLIEBOROUGH,40.07,5812,Vancouver
TX00042,2025-06-20 13:01:14,CUST785,"APL*JAMES, DAV THOMPSONSIDE",271.92,5732,Ottawa
TX00043,2025-06-20 11:58:24,CUST690,"APL*HERRING, T JEFFERYVIEW",393.39,5999,Montreal
TX00044,2025-06-19 20:49:40,CUST196,AMZ*HOFFMAN-PE LAKE CYNTHIA,218.37,5999,Calgary
TX00045,2025-06-20 18:50:54,CUST578,"WMT*HALL, PERE NORTH STEVETON",338.32,5732,Toronto
TX00046,2025-06-19 18:18:26,CUST162,APL*FERNANDEZ- LAKE ANTHONYPORT,172.95,5411,Montreal
TX00047,2025-06-20 01:17:42,CUST296,GOOGL*TAYLOR-ALE GARCIAMOUTH,227.06,5999,Montreal
TX00048,2025-06-20 11:43:32,CUST385,APL*SANCHEZ-JO BENNETTFORT,437.87,5411,Calgary
TX00049,2025-06-20 17:15:21,CUST927,LYF*MORRISON-D BOYDMOUTH,30.04,5945,Toronto
TX00050,2025-06-20 14:45:56,CUST195,GOOGL*HENDRIX-MI MATTHEWVILLE,206.17,5999,Montreal
TX00051,2025-06-20 18:41:09,CUST985,APL*CASTRO-ROB ELIZABETHBURGH,86.5,5411,Calgary
TX00052,2025-06-20 10:26:06,CUST371,APL*LYNN INC EAST PAIGEBERG,214.39,5732,Ottawa
TX00053,2025-06-20 03:06:06,CUST777,"WMT*PHILLIPS,  MARTINMOUTH",81.62,5912,Montreal
TX00054,2025-06-19 18:02:00,CUST159,LYF*HERNANDEZ  CHRISTOPHERTON,273.39,5732,Vancouver
TX00055,2025-06-19 23:33:05,CUST158,"AMZ*REEVES, JO EAST JENNIFER",241.01,5945,Montreal
TX00056,2025-06-20 17:54:14,CUST158,"LYF*SULLIVAN,  OCONNORTOWN",426.41,5411,Ottawa
TX00057,2025-06-20 12:15:26,CUST169,"WMT*PHILLIPS,  SANDOVALMOUTH",204.87,5945,Montreal
TX00058,2025-06-20 19:22:25,CUST692,LYF*HOWELL LLC RODRIGUEZVIEW,311.59,5999,Winnipeg
TX00059,2025-06-20 01:47:12,CUST697,LYF*DAY AND SO MARTINBURY,161.6,5912,Montreal
TX00060,2025-06-20 09:22:54,CUST785,"WMT*MILLER, AL NEW DANIELMOUTH",123.15,5999,Montreal
TX00061,2025-06-20 09:53:53,CUST787,"WMT*BRANCH, MI LAKE ANGELASIDE",231.33,5411,Toronto
TX00062,2025-06-20 00:19:22,CUST569,"LYF*GARCIA, WA DAVISBURY",498.07,5411,Ottawa
TX00063,2025-06-20 11:09:54,CUST318,"LYF*GREEN, LOP WEST YVETTE",70.57,5912,Toronto
TX00064,2025-06-20 10:26:41,CUST350,UBR*MANN PLC FOSTERSTAD,83.08,5945,Winnipeg
TX00065,2025-06-19 21:00:37,CUST409,LYF*MCDONALD-C NEW JAMIE,266.83,5732,Ottawa
TX00066,2025-06-20 17:02:57,CUST406,WMT*THOMPSON-P HENRYVIEW,469.77,5812,Vancouver
TX00067,2025-06-19 17:47:24,CUST218,AMZ*CAMPBELL-M LAKE TIMOTHY,278.85,5912,Vancouver
TX00068,2025-06-19 18:41:36,CUST719,"GOOGL*MITCHELL,  WEST JOHNBURGH",174.73,5732,Winnipeg
TX00069,2025-06-20 02:25:10,CUST973,UBR*WILLIAMS I PORT ADRIANA,246.82,5411,Toronto
TX00070,2025-06-20 10:44:49,CUST749,APL*WALLACE-NG LAKE REBECCA,26.82,5912,Montreal
TX00071,2025-06-20 14:56:16,CUST752,UBR*ELLIS PLC BRANDYBURGH,371.91,5945,Winnipeg
TX00072,2025-06-20 20:28:07,CUST537,LYF*REED-TERRE WEST JASON,60.38,5732,Montreal
TX00073,2025-06-20 07:22:41,CUST658,"AMZ*KIM, JOHNS KATHLEENSHIRE",293.34,5812,Calgary
TX00074,2025-06-20 09:35:50,CUST230,AMZ*GONZALES L BRYANTSHIRE,185.5,5411,Vancouver
TX00075,2025-06-20 11:44:08,CUST315,WMT*PHILLIPS-W JUSTINFORT,335.13,5912,Ottawa
TX00076,2025-06-19 22:13:23,CUST995,"APL*THOMPSON,  CAMPBELLCHESTER",375.99,5812,Montreal
TX00077,2025-06-20 05:48:34,CUST919,"GOOGL*JARVIS, FO LAKE EDWARD",17.27,5732,Vancouver
TX00078,2025-06-19 20:25:48,CUST901,APL*PATTERSON  GOODHAVEN,432.71,5812,Vancouver
TX00079,2025-06-20 16:53:06,CUST263,WMT*HALL AND S LORETTAPORT,194.36,5411,Calgary
TX00080,2025-06-20 04:03:42,CUST327,GOOGL*BROWN GROU SOUTH STEPHANIE,178.08,5812,Montreal
TX00081,2025-06-20 13:47:21,CUST124,WMT*PARKER-BRA CHADSHIRE,202.24,5912,Toronto
TX00082,2025-06-20 08:02:09,CUST891,UBR*SCHMIDT-RO JOHNNYCHESTER,322.53,5999,Winnipeg
TX00083,2025-06-20 08:45:50,CUST963,"LYF*FRANK, LYN WILLIAMVILLE",469.92,5411,Vancouver
TX00084,2025-06-20 11:09:19,CUST282,LYF*MARQUEZ-CA LAKE ANNALAND,23.94,5945,Calgary
TX00085,2025-06-20 09:24:00,CUST453,WMT*TUCKER AND NORTH MICHAELBURY,221.01,5945,Toronto
TX00086,2025-06-20 13:54:00,CUST494,LYF*BROWN LTD YORKSTAD,131.09,5732,Calgary
TX00087,2025-06-20 01:12:59,CUST101,LYF*SANDERS GR WEST ALYSSA,344.99,5732,Winnipeg
TX00088,2025-06-20 07:33:35,CUST786,GOOGL*ORTIZ GROU WEST SARAHMOUTH,218.49,5732,Vancouver
TX00089,2025-06-19 20:40:03,CUST738,UBR*WALSH PLC TAYLORVILLE,424.77,5732,Vancouver
TX00090,2025-06-19 20:32:24,CUST619,"UBR*CASE, TURN IRWINFURT",207.15,5999,Winnipeg
TX00091,2025-06-20 16:11:11,CUST402,LYF*LANDRY LLC NEW VANESSASIDE,99.96,5732,Calgary
TX00092,2025-06-20 14:29:04,CUST793,WMT*CONRAD-COC GEORGEMOUTH,309.68,5912,Calgary
TX00093,2025-06-20 09:45:25,CUST661,AMZ*SALAS-VARG NORTH SHAWN,147.02,5999,Ottawa
TX00094,2025-06-20 09:05:17,CUST721,"WMT*CALHOUN, S MARYPORT",235.17,5999,Winnipeg
TX00095,2025-06-20 03:35:33,CUST318,"LYF*WELLS, WIL LAKE SHERIBURY",397.9,5732,Montreal
TX00096,2025-06-20 10:29:18,CUST774,AMZ*THOMPSON L KRAMERHAVEN,260.15,5732,Ottawa
TX00097,2025-06-19 17:28:21,CUST443,"AMZ*LIU, POPE  JACOBVILLE",121.26,5912,Montreal
TX00098,2025-06-20 15:27:21,CUST925,GOOGL*NGUYEN-RIV TUCKERHAVEN,17.09,5812,Calgary
TX00099,2025-06-20 04:14:22,CUST725,AMZ*FOSTER LLC ANGELASHIRE,210.15,5732,Ottawa
TX00100,2025-06-19 19:28:02,CUST299,WMT*FLYNN-MUNO SMITHTOWN,195.07,5999,Montreal
TX00101,2025-06-19 19:47:06,CUST251,WMT*DUNN AND S NORTH DANIELTON,7.74,5411,Calgary
TX00102,2025-06-19 19:29:00,CUST324,GOOGL*YATES INC SHAWNASIDE,261.39,5411,Ottawa
TX00103,2025-06-20 04:12:05,CUST355,AMZ*BAKER-FRAZ LAKE ALISONFURT,71.0,5999,Winnipeg
TX00104,2025-06-19 23:08:27,CUST643,LYF*CISNEROS-G GINAFORT,162.06,5999,Ottawa
TX00105,2025-06-20 02:26:32,CUST934,WMT*SINGH-GONZ KOCHLAND,216.24,5945,Calgary
TX00106,2025-06-20 03:32:18,CUST262,"WMT*AYERS, JUA EAST DEBBIE",227.78,5812,Winnipeg
TX00107,2025-06-20 03:10:37,CUST383,"LYF*WALKER, JA AMANDATON",315.24,5912,Calgary
TX00108,2025-06-20 10:25:04,CUST179,WMT*GARCIA LLC RANDYTON,121.07,5912,Vancouver
TX00109,2025-06-20 15:46:58,CUST653,AMZ*DANIELS-HU LAKE KIMBERLYVILLE,79.66,5999,Winnipeg
TX00110,2025-06-20 13:01:51,CUST256,WMT*WEBSTER AN EAST TIMOTHYBOROUGH,36.79,5999,Vancouver
TX00111,2025-06-20 05:40:58,CUST655,"APL*MCCORMICK, JENNIFERBOROUGH",35.82,5999,Calgary
TX00112,2025-06-19 19:29:51,CUST888,LYF*PEREZ LTD RAYMONDLAND,14.67,5945,Calgary
TX00113,2025-06-20 08:00:49,CUST588,AMZ*JONES-BROW KRISTINHAVEN,152.81,5999,Calgary
TX00114,2025-06-19 18:04:25,CUST651,WMT*MOORE GROU TURNERBOROUGH,275.34,5945,Montreal
TX00115,2025-06-20 10:53:00,CUST599,GOOGL*REED-WOLF JACKSONVIEW,220.74,5411,Calgary
TX00116,2025-06-19 20:05:38,CUST444,WMT*BUTLER GRO HOWELLFURT,400.08,5732,Montreal
TX00117,2025-06-20 16:10:26,CUST960,APL*GIBSON-CRA LAKE MORGANFURT,490.46,5945,Toronto
TX00118,2025-06-20 00:16:19,CUST503,LYF*RIDDLE-MED HEATHERPORT,333.18,5411,Winnipeg
TX00119,2025-06-20 04:00:39,CUST538,"GOOGL*SANDERS, D RHODESLAND",94.96,5912,Calgary
TX00120,2025-06-20 04:15:56,CUST435,GOOGL*REED-HUGHE WEST ALLISON,166.79,5999,Vancouver
TX00121,2025-06-20 11:38:09,CUST870,"APL*MCCALL, LI SMITHFORT",418.28,5999,Toronto
TX00122,2025-06-20 18:55:28,CUST867,LYF*KEITH-REYN LAKE KELLY,499.95,5912,Montreal
TX00123,2025-06-19 21:05:28,CUST765,AMZ*PORTER-MER LAKE BRENDAFURT,24.93,5411,Montreal
TX00124,2025-06-19 22:11:55,CUST304,AMZ*JONES-GONZ WEST BRITTANY,80.43,5812,Calgary
TX00125,2025-06-20 00:17:14,CUST785,AMZ*SINGLETON  COMBSBURY,474.14,5999,Winnipeg
TX00126,2025-06-20 14:42:42,CUST362,"UBR*LITTLE, MO WELLSFURT",304.92,5732,Winnipeg
TX00127,2025-06-20 09:29:46,CUST217,"GOOGL*DUNLAP, HO TINAPORT",58.51,5411,Vancouver
TX00128,2025-06-20 07:09:22,CUST689,WMT*JONES INC EAST MARIAH,201.34,5732,Montreal
TX00129,2025-06-19 19:40:34,CUST177,"LYF*REED, WRIG CHRISTINEMOUTH",416.13,5812,Toronto
TX00130,2025-06-19 19:54:27,CUST813,UBR*ELLIOTT IN NEW JIMMY,302.2,5411,Ottawa
TX00131,2025-06-20 08:10:46,CUST901,AMZ*HANSON-BEN PORT ALANFURT,268.71,5732,Vancouver
TX00132,2025-06-19 21:14:40,CUST170,LYF*CLARK-WOOD GREENEBURGH,173.91,5999,Calgary
TX00133,2025-06-20 07:38:02,CUST208,APL*MEDINA-GLO WEST JASON,319.61,5999,Winnipeg
TX00134,2025-06-20 14:24:28,CUST256,"APL*PARRISH, R SNYDERBERG",368.23,5732,Vancouver
TX00135,2025-06-20 03:13:02,CUST730,"LYF*HENDERSON, PRICETON",235.11,5732,Ottawa
TX00136,2025-06-20 11:52:57,CUST374,UBR*DIAZ-ALVAR LAKE RONALDFURT,416.21,5411,Vancouver
TX00137,2025-06-19 17:29:48,CUST561,GOOGL*WHITE-RIVE EAST ALEXANDERLAND,235.03,5945,Winnipeg
TX00138,2025-06-20 19:46:33,CUST488,UBR*OCONNELL-W COURTNEYTON,249.68,5912,Montreal
TX00139,2025-06-20 07:54:07,CUST599,"GOOGL*BENSON, WH BALDWINSIDE",399.93,5912,Vancouver
TX00140,2025-06-20 10:45:43,CUST710,WMT*FORD-CANNO COPELANDSTAD,280.12,5945,Montreal
TX00141,2025-06-19 18:36:13,CUST187,"GOOGL*JONES, JOH PETERBURGH",206.18,5945,Montreal
TX00142,2025-06-19 21:18:15,CUST807,"APL*KNIGHT, KL LAURENSHIRE",357.36,5999,Toronto
TX00143,2025-06-20 12:45:09,CUST195,UBR*MASSEY-FOW WEST CRYSTAL,205.18,5812,Vancouver
TX00144,2025-06-20 07:23:06,CUST779,"LYF*HOLT, CHAV SOUTH GEORGE",239.26,5945,Vancouver
TX00145,2025-06-20 00:46:54,CUST535,"WMT*COOKE, GAR NEW ANNBURY",168.74,5732,Calgary
TX00146,2025-06-20 11:40:03,CUST377,UBR*MAHONEY AN EAST MARKFORT,119.12,5732,Montreal
TX00147,2025-06-19 17:46:24,CUST423,AMZ*SOSA-BRENN MILLERCHESTER,270.25,5732,Montreal
TX00148,2025-06-19 17:55:44,CUST296,GOOGL*ELLIS-WOOD WEST WILLIAMHAVEN,244.68,5732,Ottawa
TX00149,2025-06-19 23:05:32,CUST878,"LYF*MILLER, GA RODRIGUEZBOROUGH",145.08,5411,Montreal
TX00150,2025-06-20 07:40:53,CUST403,"GOOGL*AVILA, MIT HUFFLAND",93.82,5411,Winnipeg
TX00151,2025-06-20 10:50:00,CUST646,GOOGL*SAWYER-WIL SHELLYTON,27.53,5411,Ottawa
TX00152,2025-06-20 16:13:23,CUST399,"WMT*THOMPSON,  DAVIDTOWN",320.75,5999,Toronto
TX00153,2025-06-19 23:55:11,CUST993,"AMZ*GRAVES, WH PORT NATHANIELMOUTH",145.75,5999,Calgary
TX00154,2025-06-20 18:57:00,CUST448,GOOGL*VASQUEZ-RO LAKE ELIZABETH,129.98,5999,Toronto
TX00155,2025-06-20 06:13:53,CUST941,AMZ*BRADLEY LT HARRISPORT,248.41,5945,Winnipeg
TX00156,2025-06-20 15:17:47,CUST802,"AMZ*GUZMAN, CO OCONNORSHIRE",78.85,5945,Vancouver
TX00157,2025-06-20 16:30:29,CUST187,GOOGL*TORRES LLC EAST SEAN,281.25,5999,Ottawa
TX00158,2025-06-20 12:36:13,CUST710,LYF*MITCHELL-R NORTH KAYLASTAD,388.97,5999,Calgary
TX00159,2025-06-19 23:23:35,CUST553,"UBR*DIAZ, HART NEW ANNETTE",495.07,5912,Ottawa
TX00160,2025-06-19 22:37:29,CUST735,"AMZ*LI, PHAM A SILVABERG",480.25,5411,Montreal
TX00161,2025-06-20 11:11:07,CUST740,GOOGL*WHITAKER A REBECCAVILLE,331.91,5812,Montreal
TX00162,2025-06-20 18:05:16,CUST277,"LYF*ANDERSON,  CUNNINGHAMVIEW",82.48,5999,Calgary
TX00163,2025-06-20 03:42:42,CUST805,LYF*TURNER AND NIELSENSTAD,149.17,5812,Vancouver
TX00164,2025-06-19 19:13:33,CUST823,"UBR*MYERS, LAW SANTIAGOFURT",430.51,5411,Winnipeg
TX00165,2025-06-19 22:03:47,CUST339,UBR*STRICKLAND MARCUSMOUTH,296.95,5812,Calgary
TX00166,2025-06-20 12:38:08,CUST217,LYF*GOMEZ-WATS WEST KRISTINA,325.58,5912,Montreal
TX00167,2025-06-20 14:46:47,CUST173,AMZ*DOUGLAS-DE WEST SHANNON,397.35,5945,Winnipeg
TX00168,2025-06-20 10:18:46,CUST944,LYF*NEWTON INC SOUTH ROBERTBURY,222.38,5999,Winnipeg
TX00169,2025-06-20 06:09:57,CUST411,WMT*MYERS INC NEW MATTHEW,471.62,5945,Ottawa
TX00170,2025-06-20 17:53:31,CUST605,APL*SMITH-RODR EAST GREGORY,301.03,5999,Winnipeg
TX00171,2025-06-20 11:42:18,CUST430,"LYF*DUKE, ROBI PORT KRISTA",17.8,5812,Winnipeg
TX00172,2025-06-19 23:26:39,CUST956,LYF*FLORES INC LAKE BRANDONBOROUGH,475.64,5732,Vancouver
TX00173,2025-06-19 17:17:09,CUST690,AMZ*RANDALL IN RAVENMOUTH,91.72,5945,Winnipeg
TX00174,2025-06-20 14:12:46,CUST552,"UBR*BYRD, CHAP MARTINBURY",498.49,5999,Winnipeg
TX00175,2025-06-20 17:29:55,CUST933,APL*WOOD AND S DAVISTOWN,237.66,5999,Vancouver
TX00176,2025-06-20 17:00:44,CUST428,WMT*JOHNSON AN ELIZABETHHAVEN,429.58,5912,Calgary
TX00177,2025-06-20 10:19:37,CUST810,APL*TAYLOR-NEL NORTH JEREMY,332.98,5999,Ottawa
TX00178,2025-06-20 17:36:52,CUST137,"APL*GONZALEZ,  NORTH LORISIDE",160.69,5912,Toronto
TX00179,2025-06-20 02:05:05,CUST891,"APL*LEE, RASMU RENEEMOUTH",413.34,5411,Winnipeg
TX00180,2025-06-20 04:00:02,CUST990,LYF*HOOPER LTD OCONNORMOUTH,209.56,5812,Ottawa
TX00181,2025-06-19 17:16:46,CUST470,"LYF*DRAKE, MAX ANDREWSLAND",251.75,5999,Toronto
TX00182,2025-06-20 00:49:27,CUST308,UBR*TORRES-JEN HUYNHBURGH,69.85,5912,Calgary
TX00183,2025-06-20 16:23:59,CUST815,APL*JOHNSON-LA NORTH LESLIEBURGH,19.29,5732,Ottawa
TX00184,2025-06-19 18:58:42,CUST918,GOOGL*FIELDS INC NEW ETHANMOUTH,83.4,5945,Toronto
TX00185,2025-06-20 17:25:37,CUST665,APL*DAVIS-VELA WILLIAMSSHIRE,116.23,5411,Calgary
TX00186,2025-06-20 15:12:53,CUST220,WMT*HAMILTON-G DAVIDVILLE,251.7,5732,Vancouver
TX00187,2025-06-20 10:51:56,CUST621,"WMT*NELSON, MI SOUTH JOHN",210.67,5999,Calgary
TX00188,2025-06-20 00:44:59,CUST349,APL*GONZALEZ-C SOUTH ANDREWSIDE,76.6,5812,Ottawa
TX00189,2025-06-20 15:51:02,CUST620,WMT*WILSON-PET OLIVERSTAD,432.69,5912,Calgary
TX00190,2025-06-20 11:05:36,CUST448,"LYF*ALEXANDER, WEST AMY",411.17,5912,Winnipeg
TX00191,2025-06-19 23:42:23,CUST405,LYF*ALLEN-WILL EAST JAVIERVILLE,499.46,5999,Montreal
TX00192,2025-06-20 03:11:11,CUST557,LYF*LOVE LTD DEBRABOROUGH,175.84,5945,Ottawa
TX00193,2025-06-20 09:06:18,CUST486,APL*ROGERS-TAY ANNETTEVILLE,435.45,5732,Montreal
TX00194,2025-06-20 12:19:01,CUST685,"APL*HARRIS, WI WEST LINDA",428.73,5999,Toronto
TX00195,2025-06-20 03:36:01,CUST425,WMT*WILSON-PIE SOUTH NOAH,354.09,5999,Calgary
TX00196,2025-06-20 15:16:58,CUST779,"WMT*RUIZ, BRAN WEST KIMBERLY",250.19,5411,Montreal
TX00197,2025-06-20 08:43:59,CUST614,LYF*JENNINGS-H ERICCHESTER,435.5,5999,Toronto
TX00198,2025-06-20 20:15:43,CUST638,"APL*SMITH, PHI LAKE KRISTINA",362.61,5999,Winnipeg
TX00199,2025-06-20 03:43:37,CUST258,AMZ*CLARK-ROTH PORT JESSICA,391.86,5912,Vancouver
TX00200,2025-06-20 06:20:56,CUST738,"WMT*TURNER, MA SOUTH TANYA",326.67,5912,Winnipeg
TX00201,2025-06-20 06:59:06,CUST979,LYF*LEE AND SO KATHYHAVEN,477.3,5732,Winnipeg
TX00202,2025-06-20 01:07:22,CUST877,APL*WALTON-MOR STEVENBURY,22.77,5411,Montreal
TX00203,2025-06-20 10:21:27,CUST746,WMT*HORNE AND  HOWARDTON,498.73,5732,Toronto
TX00204,2025-06-19 17:08:11,CUST544,AMZ*WHITE-JOHN ROSSMOUTH,318.71,5411,Calgary
TX00205,2025-06-20 09:55:03,CUST270,"WMT*MIRANDA, B GONZALEZSHIRE",452.19,5411,Vancouver
TX00206,2025-06-20 10:08:22,CUST915,"AMZ*FLORES, TU EAST NANCYVIEW",182.44,5999,Montreal
TX00207,2025-06-20 05:49:06,CUST350,LYF*SMITH-SHAW NORTH WILLIAM,285.13,5812,Montreal
TX00208,2025-06-19 22:37:47,CUST279,AMZ*ORTEGA-JOS NORTH KARENHAVEN,436.07,5945,Winnipeg
TX00209,2025-06-19 23:35:19,CUST346,APL*BRIDGES LT NORTH APRILSTAD,75.84,5999,Winnipeg
TX00210,2025-06-20 11:31:28,CUST360,"APL*HAMMOND, W LAKE DEBRA",335.09,5999,Vancouver
TX00211,2025-06-20 15:04:08,CUST793,LYF*PATTERSON  DEANNABURY,41.56,5912,Ottawa
TX00212,2025-06-20 05:22:19,CUST406,"WMT*TURNER, GA PORT DONALD",346.71,5999,Vancouver
TX00213,2025-06-20 03:13:39,CUST303,APL*CHASE-DANI LUISVIEW,57.79,5999,Ottawa
TX00214,2025-06-20 10:02:54,CUST467,LYF*SMITH LLC EAST BILLBOROUGH,496.38,5912,Toronto
TX00215,2025-06-20 06:24:35,CUST949,WMT*GARZA-CHAV THERESAFURT,140.87,5945,Winnipeg
TX00216,2025-06-20 19:02:06,CUST896,"WMT*HICKS, MCD CARRIESTAD",455.76,5732,Calgary
TX00217,2025-06-20 12:26:32,CUST952,UBR*FIGUEROA-C LAKE JOSHUABERG,305.5,5912,Montreal
TX00218,2025-06-19 22:12:53,CUST751,GOOGL*BARTON LLC ERICKSONSTAD,129.06,5732,Winnipeg
TX00219,2025-06-19 21:56:49,CUST797,GOOGL*GOMEZ LLC SHANNONBERG,53.1,5732,Winnipeg
TX00220,2025-06-20 04:46:15,CUST140,UBR*LOWE GROUP BURTONTOWN,21.52,5912,Winnipeg
TX00221,2025-06-20 10:04:34,CUST234,AMZ*JOHNSON IN WOODMOUTH,166.73,5999,Montreal
TX00222,2025-06-20 01:10:53,CUST305,"GOOGL*WILSON, MA EAST SHARONPORT",438.85,5912,Ottawa
TX00223,2025-06-20 14:49:47,CUST613,"UBR*MCDONALD,  LESLIETON",132.2,5999,Vancouver
TX00224,2025-06-20 16:37:39,CUST864,UBR*WILLIAMS G WEST ASHLEYBERG,236.82,5411,Montreal
TX00225,2025-06-19 20:11:47,CUST872,"GOOGL*PEREZ, DAV SOTOHAVEN",363.49,5999,Ottawa
TX00226,2025-06-20 06:27:17,CUST474,AMZ*WALTON INC PHILLIPSVILLE,11.89,5945,Toronto
TX00227,2025-06-19 20:19:26,CUST565,UBR*LOPEZ AND  COXMOUTH,375.76,5912,Ottawa
TX00228,2025-06-20 07:17:45,CUST490,"WMT*JOHNSON, V LAKE DAVID",58.63,5812,Calgary
TX00229,2025-06-20 00:22:50,CUST125,LYF*REEVES LLC PORT KATHERINE,167.36,5945,Montreal
TX00230,2025-06-19 21:41:11,CUST763,AMZ*MURPHY-NUN ANTHONYPORT,412.81,5732,Vancouver
TX00231,2025-06-20 16:34:22,CUST764,APL*STEWART-JA GORDONBURY,74.19,5411,Vancouver
TX00232,2025-06-20 17:16:55,CUST604,AMZ*SUTTON INC LAKE SCOTT,121.23,5945,Montreal
TX00233,2025-06-20 07:18:45,CUST497,APL*CHAMBERS-H KELLISIDE,336.89,5732,Winnipeg
TX00234,2025-06-19 23:26:11,CUST653,APL*POWERS LTD NORTH SUSAN,372.42,5812,Calgary
TX00235,2025-06-20 03:00:15,CUST770,AMZ*WILSON-ROC JUSTINFURT,309.75,5912,Toronto
TX00236,2025-06-20 12:54:37,CUST806,"UBR*MILLER, JO EAST STEPHANIE",224.47,5812,Vancouver
TX00237,2025-06-20 07:26:47,CUST201,WMT*ADAMS-WEBE NEW HOLLY,274.51,5732,Vancouver
